Year,YearSince,Population,NormalizedPop,Y25
1800,0,946764816,0,0.0
1801,1,950949353.2,4184537.2,0.04
1802,2,955168653.2,8403837,0.08
1803,3,959430074.1,12665258,0.12
1804,4,963726376.4,16961560,0.16
1805,5,968055764.1,21290948,0.2
1806,6,972415942.8,25651126,0.24
1807,7,976803344.6,30038528,0.28
1808,8,981217619.5,34452803,0.32
1809,9,985651328.9,38886512,0.36
1810,10,990878743.6,44113927,0.4
1811,11,995532712.6,48767896,0.44
1812,12,1000325622,53560806,0.48
1813,13,1005258097,58493281,0.52
1814,14,1010330552,63565736,0.56
1815,15,1015543754,68778938,0.6
1816,16,1020894894,74130078,0.64
1817,17,1026382529,79617713,0.68
1818,18,1032007127,85242311,0.72
1819,19,1037768027,91003211,0.76
1820,20,1043665954,96901138,0.8
1821,21,1049578200,102813384,0.84
1822,22,1055501042,108736226,0.88
1823,23,1061433252,114668436,0.92
1824,24,1067371419,120606603,0.96
1825,25,1073327187,126562371,1.0
1826,26,1079295963,132531147.0,1.04
1827,27,1085279042,138514226.0,1.08
1828,28,1091276457,144511641.0,1.12
1829,29,1097289755,150524939.0,1.16
1830,30,1103319620,156554804.0,1.2
1831,31,1109359147,162594331.0,1.24
1832,32,1115305848,168541032.0,1.28
1833,33,1121155293,174390477.0,1.32
1834,34,1126910232,180145416.0,1.36
1835,35,1132570731,185805915.0,1.4
1836,36,1138131046,191366230.0,1.44
1837,37,1143567113,196802297.0,1.48
1838,38,1148861698,202096882.0,1.52
1839,39,1154029951,207265135.0,1.56
1840,40,1159081245,212316429.0,1.6
1841,41,1163860076,217095260.0,1.64
1842,42,1168506024,221741208.0,1.68
1843,43,1173023504,226258688.0,1.72
1844,44,1177405613,230640797.0,1.76
1845,45,1181662685,234897869.0,1.8
1846,46,1185785360,239020544.0,1.84
1847,47,1189782535,243017719.0,1.88
1848,48,1193656421,246891605.0,1.92
1849,49,1197409812,250644996.0,1.96
1850,50,1201046477,254281661.0,2.0
1851,51,1204690105,257925289.0,2.04
1852,52,1208289011,261524195.0,2.08
1853,53,1211849187,265084371.0,2.12
1854,54,1215376008,268611192.0,2.16
1855,55,1218865074,272100258.0,2.2
1856,56,1222303872,275539056.0,2.24
1857,57,1225698996,278934180.0,2.28
1858,58,1229069348,282304532.0,2.32
1859,59,1232462561,285697745.0,2.36
1860,60,1235823848,289059032.0,2.4
1861,61,1239298522,292533706.0,2.44
1862,62,1243090555,296325739.0,2.48
1863,63,1247200541,300435725.0,2.52
1864,64,1251626550,304861734.0,2.56
1865,65,1256371046,309606230.0,2.6
1866,66,1261442305,314677489.0,2.64
1867,67,1266846732,320081916.0,2.68
1868,68,1272568970,325804154.0,2.72
1869,69,1278611043,331846227.0,2.76
1870,70,1284973533,338208717.0,2.8
1871,71,1291656523,344891707.0,2.84
1872,72,1298586261,351821445.0,2.88
1873,73,1304594045,357829229.0,2.92
1874,74,1312082253,365317437.0,2.96
1875,75,1319860815,373095999.0,3.0
1876,76,1327947476,381182660.0,3.04
1877,77,1335575341,388810525.0,3.08
1878,78,1344425843,397661027.0,3.12
1879,79,1353630214,406865398.0,3.16
1880,80,1363008989,416244173.0,3.2
1881,81,1372224448,425459632.0,3.24
1882,82,1381822066,435057250.0,3.28
1883,83,1391557270,444792454.0,3.32
1884,84,1401119579,454354763.0,3.36
1885,85,1411074415,464309599.0,3.4
1886,86,1421182605,474417789.0,3.44
1887,87,1431126454,484361638.0,3.48
1888,88,1441482568,494717752.0,3.52
1889,89,1452012370,505247554.0,3.56
1890,90,1462720391,515955575.0,3.6
1891,91,1473594908,526830092.0,3.64
1892,92,1484687593,537922777.0,3.68
1893,93,1496014495,549249679.0,3.72
1894,94,1507556235,560791419.0,3.76
1895,95,1519300927,572536111.0,3.8
1896,96,1531271629,584506813.0,3.84
1897,97,1543481821,596717005.0,3.88
1898,98,1555891052,609126236.0,3.92
1899,99,1568552139,621787323.0,3.96
1900,100,1581392317,634627501.0,4.0
1901,101,1594393130,647628314.0,4.04
1902,102,1607315601,660550785.0,4.08
1903,103,1620637299,673872483.0,4.12
1904,104,1634141038,687376222.0,4.16
1905,105,1647854014,701089198.0,4.2
1906,106,1661715903,714951087.0,4.24
1907,107,1675259380,728494564.0,4.28
1908,108,1689400128,742635312.0,4.32
1909,109,1704163073,757398257.0,4.36
1910,110,1719394915,772630099.0,4.4
1911,111,1734741453,787976637.0,4.44
1912,112,1751304100,804539284.0,4.48
1913,113,1768064175,821299359.0,4.52
1914,114,1784378253,837613437.0,4.56
1915,115,1799897021,853132205.0,4.6
1916,116,1814200438,867435622.0,4.64
1917,117,1827734351,880969535.0,4.68
1918,118,1839399245,892634429.0,4.72
1919,119,1852166385,905401569.0,4.76
1920,120,1866084685,919319869.0,4.8
1921,121,1882312765,935547949.0,4.84
1922,122,1898529833,951765017.0,4.88
1923,123,1915168411,968403595.0,4.92
1924,124,1932075515,985310699.0,4.96
1925,125,1948955687,1002190871.0,5.0
1926,126,1965695371,1018930555.0,5.04
1927,127,1982536028,1035771212.0,5.08
1928,128,1999311866,1052547050.0,5.12
1929,129,2017045912,1070281096.0,5.16
1930,130,2036276010,1089511194.0,5.2
1931,131,2057237433,1110472617.0,5.24
1932,132,2078921219,1132156403.0,5.28
1933,133,2100443072,1153678256.0,5.32
1934,134,2121899805,1175134989.0,5.36
1935,135,2143194324,1196429508.0,5.4
1936,136,2164788904,1218024088.0,5.44
1937,137,2186533749,1239768933.0,5.48
1938,138,2208795642,1262030826.0,5.52
1939,139,2230495015,1283730199.0,5.56
1940,140,2251629928,1304865112.0,5.6
1941,141,2272378421,1325613605.0,5.64
1942,142,2293453665,1346688849.0,5.68
1943,143,2314816524,1368051708.0,5.72
1944,144,2334719399,1387954583.0,5.76
1945,145,2355292552,1408527736.0,5.8
1946,146,2378793750,1432028934.0,5.84
1947,147,2406793628,1460028812.0,5.88
1948,148,2437585103,1490820287.0,5.92
1949,149,2477244598,1530479782.0,5.96
1950,150,2522795097,1576030281.0,6.0
1951,151,2569951208,1623186392.0,6.04
1952,152,2616316758,1669551942.0,6.08
1953,153,2662543504,1715778688.0,6.12
1954,154,2709178365,1762413549.0,6.16
1955,155,2756662517,1809897701.0,6.2
1956,156,2805328910,1858564094.0,6.24
1957,157,2855404933,1908640117.0,6.28
1958,158,2907023467,1960258651.0,6.32
1959,159,2960240049,2013475233.0,6.36
1960,160,3015085838,2068321022.0,6.4
1961,161,3071623124,2124858308.0,6.44
1962,162,3129995156,2183230340.0,6.48
1963,163,3190446183,2243681367.0,6.52
1964,164,3253262811,2306497995.0,6.56
1965,165,3318598296,2371833480.0,6.6
1966,166,3386535759,2439770943.0,6.64
1967,167,3456874782,2510109966.0,6.68
1968,168,3529117645,2582352829.0,6.72
1969,169,3602582433,2655817617.0,6.76
1970,170,3676727865,2729963049.0,6.8
1971,171,3751454788,2804689972.0,6.84
1972,172,3826757615,2879992799.0,6.88
1973,173,3902316828,2955552012.0,6.92
1974,174,3977783768,3031018952.0,6.96
1975,175,4052954392,3106189576.0,7.0
1976,176,4127653812,3180888996.0,7.04
1977,177,4202040817,3255276001.0,7.08
1978,178,4276676636,3329911820.0,7.12
1979,179,4352350393,3405585577.0,7.16
1980,180,4429660149,3482895333.0,7.2
1981,181,4508601232,3561836416.0,7.24
1982,182,4589057229,3642292413.0,7.28
1983,183,4671352595,3724587779.0,7.32
1984,184,4755854655,3809089839.0,7.36
1985,185,4842705541,3895940725.0,7.4
1986,186,4932112905,3985348089.0,7.44
1987,187,5023677382,4076912566.0,7.48
1988,188,5116168638,4169403822.0,7.52
1989,189,5207930480,4261165664.0,7.56
1990,190,5297738844,4350974028.0,7.6
1991,191,5385171977,4438407161.0,7.64
1992,192,5470448447,4523683631.0,7.68
1993,193,5553789455,4607024639.0,7.72
1994,194,5635670131,4688905315.0,7.76
1995,195,5716485992,4769721176.0,7.8
1996,196,5796242146,4849477330.0,7.84
1997,197,5874914801,4928149985.0,7.88
1998,198,5952873494,5006108678.0,7.92
1999,199,6030583814,5083818998.0,7.96
2000,200,6108424718,5161659902.0,8.0
2001,201,6186543057,5239778241.0,8.04
2002,202,6265005402,5318240586.0,8.08
2003,203,6344003287,5397238471.0,8.12
2004,204,6423719971,5476955155.0,8.16
2005,205,6504280993,5557516177.0,8.2
2006,206,6585760192,5638995376.0,8.24
2007,207,6668138074,5721373258.0,8.28
2008,208,6751310827,5804546011.0,8.32
2009,209,6835108522,5888343706.0,8.36
2010,210,6919368228,5972603412.0,8.4
2011,211,7004042402,6057277586.0,8.44
2012,212,7089048309,6142283493.0,8.48
2013,213,7174135279,6227370463.0,8.52
2014,214,7258995892,6312231076.0,8.56
2015,215,7343380299,6396615483.0,8.6
2016,216,7427157079,6480392263.0,8.64
2017,217,7510270208,6563505392.0,8.68
2018,218,7592641463,6645876647.0,8.72
2019,219,7674218669,6727453853.0,8.76
2020,220,7754954225,6808189409.0,8.8
2021,221,7834779420,6888014604.0,8.84
,,,,
