Y25,Pop,Year,log,pred
0.04,4184537.2000000500,0,6.621647433034084,7.801274606571884
0.08,8403837.200000050,1,6.924477630617963,8.102304602235865
0.12,12665258.100000000,2,7.102614044522433,8.403334597899846
0.16,16961560.400000000,3,7.229465803223579,8.704364593563827
0.2,21290948.100000000,4,7.328195001289441,9.005394589227809
0.24,25651126.800000000,5,7.409106447509188,9.30642458489179
0.28,30038528.600000000,6,7.477678655477562,9.607454580555771
0.32,34452803.5,7,7.537224567173733,9.908484576219752
0.36,38886512.900000000,8,7.589799000072426,10.209514571883734
0.4,44113927.600000000,9,7.644575726086533,10.510544567547715
0.44,48767896.600000000,10,7.688134024512771,10.811574563211696
0.48,53560806.0,11,7.728847103790282,11.112604558875677
0.52,58493281.0,12,7.767105982454639,11.413634554539659
0.56,63565736.0,13,7.803223079862422,11.71466455020364
0.6,68778938.0,14,7.837455465695059,12.015694545867621
0.64,74130078.0,15,7.8699944570885805,12.316724541531602
0.68,79617713.0,16,7.901009698420835,12.617754537195584
0.72,85242311.0,17,7.9306552153375955,12.918784532859565
0.76,91003211.0,18,7.959056716441738,13.219814528523546
0.8,96901138.0,19,7.986328877403896,13.520844524187527
0.84,102813384.0,20,8.012049653754532,13.821874519851509
0.88,108736226.0,21,8.036374255502018,14.12290451551549
0.92,114668436.0,22,8.059443889065022,14.423934511179471
0.96,120606603.0,23,8.081371085316265,14.724964506843452
1.0,126562371.0,24,8.102304602235865,15.025994502507434
1.04,132531147.0,25,8.122317956616774,15.327024498171413
1.08,138514226.0,26,8.141494379581125,15.628054493835394
1.12,144511641.0,27,8.159902832687258,15.929084489499376
1.16,150524939.0,28,8.17760845988205,16.230114485163355
1.2,156554804.0,29,8.19466639880493,16.531144480827336
1.24,162594331.0,30,8.211105399447854,16.832174476491318
1.28,168541032.0,31,8.226705648838415,17.1332044721553
1.32,174390477.0,32,8.241522765577791,17.43423446781928
1.36,180145416.0,33,8.255623215494202,17.73526446348326
1.4,185805915.0,34,8.269059535335616,18.036294459147243
1.44,191366230.0,35,8.281865301159591,18.337324454811224
1.48,196802297.0,36,8.294030163041478,18.638354450475205
1.52,202096882.0,37,8.305559613165771,18.939384446139186
1.56,207265135.0,38,8.316526253610672,19.240414441803168
1.6,212316429.0,39,8.326983601080661,19.54144443746715
1.64,217095260.0,40,8.336650341288058,19.84247443313113
1.68,221741208.0,41,8.345846409145109,20.14350442879511
1.72,226258688.0,42,8.354605264465157,20.444534424459093
1.76,230640797.0,43,8.362936130126354,20.745564420123074
1.8,234897869.0,44,8.37087907686386,21.046594415787055
1.84,239020544.0,45,8.378435230497898,21.347624411451037
1.88,243017719.0,46,8.385637940196576,21.648654407115018
1.92,246891605.0,47,8.3925063229649,21.949684402779
1.96,250644996.0,48,8.399059038566943,22.25071439844298
2.0,254281661.0,49,8.40531503963422,22.55174439410696
2.04,257925289.0,50,8.411493925832051,22.852774389770943
2.08,261524195.0,51,8.417511873963944,23.153804385434924
2.12,265084371.0,52,8.423384123098815,23.454834381098905
2.16,268611192.0,53,8.429124104098067,23.755864376762887
2.2,272100258.0,54,8.434728953569259,24.056894372426868
2.24,275539056.0,55,8.440183166175505,24.35792436809085
2.28,278934180.0,56,8.445501735047214,24.65895436375483
2.32,282304532.0,57,8.45071785018657,24.95998435941881
2.36,285697745.0,58,8.455906812528625,25.261014355082793
2.4,289059032.0,59,8.460986543980907,25.562044350746774
2.44,292533706.0,60,8.46617591310693,25.863074346410755
2.48,296325739.0,61,8.471769376151597,26.164104342074737
2.52,300435725.0,62,8.477751573631298,26.465134337738718
2.56,304861734.0,63,8.484102915491702,26.7661643334027
2.6,309606230.0,64,8.490809691117445,27.06719432906668
2.64,314677489.0,65,8.49786567601535,27.36822432473066
2.68,320081916.0,66,8.505261138051448,27.669254320394643
2.72,325804154.0,67,8.512956617258485,27.970284316058624
2.76,331846227.0,68,8.520936884197754,28.271314311722605
2.8,338208717.0,69,8.529184796922904,28.572344307386587
2.84,344891707.0,70,8.53768275178276,28.873374303050568
2.88,351821445.0,71,8.546322308007491,29.17440429871455
2.92,357829229.0,72,8.553675812684535,29.47543429437853
2.96,365317437.0,73,8.56267040205629,29.77646429004251
3.0,373095999.0,74,8.571820591786638,30.077494285706493
3.04,381182660.0,75,8.581133136358737,30.378524281370474
3.08,388810525.0,76,8.589738012652267,30.679554277034455
3.12,397661027.0,77,8.59951302978853,30.980584272698437
3.16,406865398.0,78,8.609450756708403,31.281614268362418
3.2,416244173.0,79,8.61934816687075,31.5826442640264
3.24,425459632.0,80,8.628858360116666,31.88367425969038
3.28,435057250.0,81,8.638546410341094,32.18470425535436
3.32,444792454.0,82,8.648157410736863,32.48573425101834
3.36,454354763.0,83,8.657395085120516,32.786764246682324
3.4,464309599.0,84,8.666807662235287,33.087794242346305
3.44,474417789.0,85,8.676160965178495,33.38882423801029
3.48,484361638.0,86,8.685169739209538,33.68985423367427
3.52,494717752.0,87,8.694357494470344,33.99088422933825
3.56,505247554.0,88,8.703504219689817,34.29191422500223
3.6,515955575.0,89,8.712612309450963,34.59294422066621
3.64,526830092.0,90,8.72167057345813,34.89397421633019
3.68,537922777.0,91,8.730719933789164,35.195004211994174
3.72,549249679.0,92,8.73976981177631,35.496034207658155
3.76,560791419.0,93,8.748801359613628,35.79706420332214
3.8,572536111.0,94,8.75780288369918,36.09809419898612
3.84,584506813.0,95,8.766789577655363,36.3991241946501
3.88,596717005.0,96,8.775768414369042,36.70015419031408
3.92,609126236.0,97,8.784707305632832,37.00118418597806
3.96,621787323.0,98,8.793641863401495,37.30221418164204
4.0,634627501.0,99,8.80251888792475,37.603244177306024
4.04,647628314.0,100,8.811325827643342,37.904274172970005
4.08,660550785.0,101,8.81990621301397,38.20530416863399
4.12,673872483.0,102,8.828577722694229,38.50633416429797
4.16,687376222.0,103,8.837194504768329,38.80736415996195
4.2,701089198.0,104,8.845773275790917,39.10839415562593
4.24,714951087.0,105,8.85427633079041,39.40942415128991
4.28,728494564.0,106,8.862426315428436,39.71045414695389
4.32,742635312.0,107,8.870775595902979,40.011484142617874
4.36,757398257.0,108,8.879324301344415,40.312514138281855
4.4,772630099.0,109,8.887971622751321,40.61354413394584
4.44,787976637.0,110,8.896513341128646,40.91457412960982
4.48,804539284.0,111,8.905547254659906,41.2156041252738
4.52,821299359.0,112,8.914501483873373,41.51663412093778
4.56,837613437.0,113,8.923043635681466,41.81766411660176
4.6,853132205.0,114,8.931016336505206,42.11869411226574
4.64,867435622.0,115,8.938237252860445,42.419724107929724
4.68,880969535.0,116,8.944960890239338,42.720754103593706
4.72,892634429.0,117,8.950673633609549,43.02178409925769
4.76,905401569.0,118,8.956841242763002,43.32281409492167
4.8,919319869.0,119,8.963466646501796,43.62384409058565
4.84,935547949.0,120,8.971066051004884,43.92487408624963
4.88,951765017.0,121,8.978529737862328,44.22590408191361
4.92,968403595.0,122,8.986056393002,44.52693407757759
4.96,985310699.0,123,8.993573198603627,44.827964073241574
5.0,1002190871.0,124,9.000950442417253,45.128994068905556
5.04,1018930555.0,125,9.008144585764981,45.43002406456954
5.08,1035771212.0,126,9.015263836163157,45.73105406023352
5.12,1052547050.0,127,9.022241518378172,46.0320840558975
5.16,1070281096.0,128,9.02949785470305,46.33311405156148
5.2,1089511194.0,129,9.037231696691,46.63414404722546
5.24,1110472617.0,130,9.045507853805319,46.93517404288944
5.28,1132156403.0,131,9.053906427088872,47.236204038553424
5.32,1153678256.0,132,9.062084707323585,47.537234034217406
5.36,1175134989.0,133,9.070087757340122,47.83826402988139
5.4,1196429508.0,134,9.077887115662806,48.13929402554537
5.44,1218024088.0,135,9.085655877116263,48.44032402120935
5.48,1239768933.0,136,9.09334074929599,48.74135401687333
5.52,1262030826.0,137,9.101069962989095,49.04238401253731
5.56,1283730199.0,138,9.108473757846731,49.34341400820129
5.6,1304865112.0,139,9.115565619611596,49.644444003865274
5.64,1325613605.0,140,9.122416952672978,49.945473999529256
5.68,1346688849.0,141,9.12926726404363,50.24650399519324
5.72,1368051708.0,142,9.136102512643362,50.54753399085722
5.76,1387954583.0,143,9.142375255257745,50.8485639865212
5.8,1408527736.0,144,9.14876540330841,51.14959398218518
5.84,1432028934.0,145,9.155951792936635,51.45062397784916
5.88,1460028812.0,146,9.164361426174265,51.75165397351314
5.92,1490820287.0,147,9.1734252939773,52.052683969177124
5.96,1530479782.0,148,9.184827596838396,52.353713964841106
6.0,1576030281.0,149,9.197564557534799,52.65474396050509
6.04,1623186392.0,150,9.210368393128245,52.95577395616907
6.08,1669551942.0,151,9.22259993508435,53.25680395183305
6.12,1715778688.0,152,9.2344612690728,53.55783394749703
6.16,1762413549.0,153,9.24610782290424,53.85886394316101
6.2,1809897701.0,154,9.257654028379264,54.15989393882499
6.24,1858564094.0,155,9.26917754266637,54.460923934488974
6.28,1908640117.0,156,9.28072404786187,54.761953930152956
6.32,1960258651.0,157,9.292313379157926,55.06298392581694
6.36,2013475233.0,158,9.30394629188356,55.36401392148092
6.4,2068321022.0,159,9.315617946057852,55.6650439171449
6.44,2124858308.0,160,9.327329975277912,55.96607391280888
6.48,2183230340.0,161,9.339099558024163,56.26710390847286
6.52,2243681367.0,162,9.350961181292172,56.56813390413684
6.56,2306497995.0,163,9.362953081419544,56.869163899800824
6.6,2371833480.0,164,9.375084195124048,57.170193895464806
6.64,2439770943.0,165,9.387349054674495,57.47122389112879
6.68,2510109966.0,166,9.399692748007281,57.77225388679277
6.72,2582352829.0,167,9.412015579998252,58.07328388245675
6.76,2655817617.0,168,9.424198247409024,58.37431387812073
6.8,2729963049.0,169,9.436156768753575,58.67534387378471
6.84,2804689972.0,170,9.447884861709454,58.97637386944869
6.88,2879992799.0,171,9.459391401870873,59.277403865112674
6.92,2955552012.0,172,9.470638606495204,59.578433860776656
6.96,3031018952.0,173,9.48158865188174,59.87946385644064
7.0,3106189576.0,174,9.492227957927705,60.18049385210462
7.04,3180888996.0,175,9.502548513726719,60.4815238477686
7.08,3255276001.0,176,9.512587816446363,60.78255384343258
7.12,3329911820.0,177,9.522432733027498,61.08358383909656
7.16,3405585577.0,178,9.532191797891837,61.38461383476054
7.2,3482895333.0,179,9.54194042335759,61.685643830424524
7.24,3561836416.0,180,9.551673969798783,61.986673826088506
7.28,3642292413.0,181,9.561374809183919,62.28770382175249
7.32,3724587779.0,182,9.571078213940117,62.58873381741647
7.36,3809089839.0,183,9.580821215801363,62.88976381308045
7.4,3895940725.0,184,9.590612340660057,63.19079380874443
7.44,3985348089.0,185,9.600466259616654,63.49182380440841
7.48,4076912566.0,186,9.61033139761578,63.79285380007239
7.52,4169403822.0,187,9.620073960171394,64.09388379573637
7.56,4261165664.0,188,9.629528418866604,64.39491379140036
7.6,4350974028.0,189,9.63858649089328,64.69594378706434
7.64,4438407161.0,190,9.647227140091703,64.99697378272832
7.68,4523683631.0,191,9.655492224433049,65.2980037783923
7.72,4607024639.0,192,9.663420534925379,65.59903377405628
7.76,4688905315.0,193,9.671071462939702,65.90006376972025
7.8,4769721176.0,194,9.67849299219234,66.20109376538423
7.84,4849477330.0,195,9.685694933462285,66.50212376104821
7.88,4928149985.0,196,9.692683916824114,66.80315375671219
7.92,5006108678.0,197,9.699500273507,67.10418375237617
7.96,5083818998.0,198,9.706190079732254,67.40521374804015
8.0,5161659902.0,199,9.712789385804399,67.70624374370414
8.04,5239778241.0,200,9.71931290706999,68.00727373936812
8.08,5318240586.0,201,9.725767980007365,68.3083037350321
8.12,5397238471.0,202,9.732171607309493,68.60933373069608
8.16,5476955155.0,203,9.738539184964612,68.91036372636006
8.2,5557516177.0,204,9.744880735531462,69.21139372202404
8.24,5638995376.0,205,9.751201738465191,69.51242371768802
8.28,5721373258.0,206,9.757500281728584,69.813453713352
8.32,5804546011.0,207,9.763768258074982,70.11448370901599
8.36,5888343706.0,208,9.769993152087363,70.41551370467997
8.4,5972603412.0,209,9.776163678032155,70.71654370034395
8.44,6057277586.0,210,9.782277476470913,71.01757369600793
8.48,6142283493.0,211,9.788329857141935,71.31860369167191
8.52,6227370463.0,212,9.794304702440675,71.61963368733589
8.56,6312231076.0,213,9.800182888996483,71.92066368299987
8.6,6396615483.0,214,9.80595024494448,72.22169367866385
8.64,6480392263.0,215,9.811601294836692,72.52272367432784
8.68,6563505392.0,216,9.817135846357521,72.82375366999182
8.72,6645876647.0,217,9.822552276150578,73.1247836656558
8.76,6727453853.0,218,9.827850727401055,73.42581366131978
8.8,6808189409.0,219,9.833031629646927,73.72684365698376
8.84,6888014604.0,220,9.838094059239717,74.02787365264774
